Greenhouse gas;Formula;Lifetime;Unit;RE (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP 100(W m-2 yr kg-1);GWP100;Lifetime(years);mass to ppb factor (ppb/kg) (based on AGWP20);mass to ppb factor (ppb/kg) (based on AGWP100);Best estimate (mass to ppb)
HFE-43-10pccc124(H-Galden 1040x,HG-11);CHF2OCF2OC2F4OCHF2;13.5;years;1.02;2E-10;8010;2.58E-10;2820;13.5;1.87969E-11;1.87478E-11;1.87723E-11
HFE-449s1 (HFE-7100);C4F9OCH3;4.7;years;0.36;3.8E-11;1530;3.86E-11;421;4.7;2.27819E-11;2.28132E-11;2.27976E-11
n-HFE-7100;n-C4F9OCH3;4.7;years;0.42;4.39E-11;1760;4.45E-11;486;4.7;2.25592E-11;2.25431E-11;2.25511E-11
i-HFE-7100;i-C4F9OCH3;4.7;years;0.35;3.68E-11;1480;3.73E-11;407;4.7;2.26928E-11;2.26748E-11;2.26838E-11
HFE-569sf2 (HFE-7200);C4F9OC2H5;0.8;years;0.3;5.21E-12;209;5.21E-12;57;0.8;2.17083E-11;2.17083E-11;2.17083E-11
n-HFE-7200;n-C4F9OC2H5;0.8;years;0.35;5.92E-12;237;5.92E-12;65;0.8;2.11429E-11;2.11429E-11;2.11429E-11
i-HFE-7200;i-C4F9OC2H5;0.8;years;0.24;4.06E-12;163;4.06E-12;44;0.8;2.11458E-11;2.11458E-11;2.11458E-11
HFE-236ca12 (HG-10);CHF2OCF2OCHF2;25;years;0.65;2.75E-10;11000;4.91E-10;5350;25;3.07317E-11;3.07791E-11;3.07554E-11
HFE-338pcc13 (HG-01);CHF2OCF2CF2OCHF2;12.9;years;0.86;2.1E-10;8430;2.67E-10;2910;12.9;2.40268E-11;2.40774E-11;2.40521E-11
1,1,1,3,3,3-Hexafluoropropan-2-ol;(CF3)2CHOH;1.9;years;0.26;1.67E-11;668;1.67E-11;182;1.9;3.38066E-11;3.38057E-11;3.38061E-11
HG-02;HF2C?(OCF2CF2)2?OCF2H;12.9;years;1.24;1.97E-10;7900;2.5E-10;2730;12.9;1.56322E-11;1.56356E-11;1.56339E-11
HG-03;HF2C?(OCF2CF2)3?OCF2H;12.9;years;1.76;2.06E-10;8270;2.62E-10;2850;12.9;1.15168E-11;1.15448E-11;1.15308E-11
HG-20;HF2C?(OCF2)2?OCF2H;25;years;0.92;2.73E-10;10900;4.86E-10;5300;25;2.15547E-11;2.15247E-11;2.15397E-11
HG-21;HF2C?OCF2CF2OCF2OCF2O?CF2H;13.5;years;1.71;2.76E-10;11100;3.57E-10;3890;13.5;1.54728E-11;1.5474E-11;1.54734E-11
HG-30;HF2C?(OCF2)3?OCF2H;25;years;1.65;3.77E-10;15100;6.73E-10;7330;25;1.65968E-11;1.66195E-11;1.66082E-11
1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane;CF3CF2CF2OCH2CH3;0.8;years;0.28;5.56E-12;223;5.56E-12;61;0.8;2.48214E-11;2.48214E-11;2.48214E-11
Fluoroxene;CF3CH2OCH=CH2;3.6;days;0.01;4.97E-15;0;4.97E-15;0;0.009863014;5.03903E-11;5.03903E-11;5.03903E-11
1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane;CH2FOCF2CF2H;6.2;years;0.34;7.68E-11;3080;7.99E-11;871;6.2;3.79397E-11;3.79032E-11;3.79215E-11
2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan;C12H5F19O2;1;years;0.49;5.09E-12;204;5.09E-12;56;1;1.03878E-11;1.03878E-11;1.03878E-11
Fluoro(methoxy)methane;CH3OCH2F;73;days;0.07;1.15E-12;46;1.15E-12;13;0.2;8.21429E-11;8.21429E-11;8.21429E-11
Difluoro(methoxy)methane;CH3OCHF2;1.1;years;0.17;1.32E-11;528;1.32E-11;144;1.1;7.05882E-11;7.05882E-11;7.05882E-11
Fluoro(fluoromethoxy)methane;CH2FOCH2F;0.9;years;0.19;1.2E-11;479;1.2E-11;130;0.9;7.01754E-11;7.01754E-11;7.01754E-11
Difluoro(fluoromethoxy)methane;CH2FOCHF2;3.3;years;0.3;5.65E-11;2260;5.66E-11;617;3.3;5.72042E-11;5.71717E-11;5.71879E-11
Trifluoro(fluoromethoxy)methane;CH2FOCF3;4.4;years;0.33;6.82E-11;2730;6.89E-11;751;4.4;4.74736E-11;4.74518E-11;4.74627E-11
HG'-01;CH3OCF2CF2OCH3;2;years;0.29;2.03E-11;815;2.03E-11;222;2;3.50016E-11;3.5E-11;3.50008E-11
HG'-02;CH3O(CF2CF2O)2CH3;2;years;0.56;2.16E-11;868;2.16E-11;236;2;1.92866E-11;1.92857E-11;1.92862E-11
HG'-03;CH3O(CF2CF2O)3CH3;2;years;0.76;2.03E-11;812;2.03E-11;221;2;1.33559E-11;1.33553E-11;1.33556E-11
HFE-329me3;CF3CFHCF2OCF3;40;years;0.48;1.79E-10;7170;4.17E-10;4550;40;2.36941E-11;2.3661E-11;2.36775E-11
3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol;CF3(CF2)4CH2CH2OH;20;days;0.06;3.91E-14;2;3.91E-14;0;0.054794521;1.18929E-11;1.18929E-11;1.18929E-11
3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol;CF3(CF2)6CH2CH2OH;20;days;0.07;3E-14;1;3E-14;0;0.054794521;7.82143E-12;7.82143E-12;7.82143E-12
